"","Eagle Sign Company"
"","OPEN WORK ORDERS AS OF 02/15/26"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Due Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""12714.2""","""@40618 / Equity Bank""","1","1","0.00","39.14","94.85","","","0.00","133.99","5.80","224.29","0.00","","","0.00","230.09","-96.10","385.91","65.28","385.91","40.38","01/20/26","6104","LUMINEO SIGNS.","C","0.00","0.00","133.99","02/06/26","12714","3.000","1.750"
"""12715.1""","""@repair / CAT #3553""","1","0","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","","","0.00","","01/21/26","18600","CAT SCALE","","0.00","0.00","0.00","","","0.000",""
"""12717.1""","""@40597 / CONVERGE""","1","1","1165.98","922.02","1313.84","","","0.00","3401.84","710.71","1265.17","0.00","","207.03","0.00","2182.91","1218.93","3788.10","10.20","3788.10","42.37","02/24/26","2209","HUBBELL REALTY","C","0.00","0.00","3401.84","02/11/26","12717","18.700","41.000"
"""12720.1""","""@40327 / PLANET FITNESS / PRID""","1","0","0.00","0.00","0.00","","","0.00","0.00","58.00","847.28","0.00","","","0.00","905.28","-905.28","","","1421.51","36.32","02/28/26","4958","PRIDE SIGNS","","0.00","0.00","0.00","","","11.500",""
"""12720.2""","""@40328 / PLANET FITNESS / PRID""","1","0","0.00","0.00","0.00","","","0.00","0.00","0.00","73.33","0.00","","","0.00","73.33","-73.33","","","117.33","37.50","02/28/26","4958","PRIDE SIGNS","","0.00","0.00","0.00","","","1.000",""
"""12720.3""","""@40329 / PLANET FITNESS / PRID""","1","0","0.00","0.00","0.00","","","0.00","0.00","145.00","1446.71","0.00","","","0.00","1591.71","-1591.71","","","2712.95","41.33","02/28/26","4958","PRIDE SIGNS","","0.00","0.00","0.00","","","11.000",""
"""12720.4""","""@40330 / PLANET FITNESS / PRID""","1","0","0.00","0.00","0.00","","","0.00","0.00","0.00","423.99","0.00","","","0.00","423.99","-423.99","","","627.39","32.42","02/28/26","4958","PRIDE SIGNS","","0.00","0.00","0.00","","","6.000",""
"""12720.5""","""@40331 / PLANET FITNESS / PRID""","1","0","0.00","0.00","0.00","","","0.00","0.00","0.00","394.40","0.00","","","0.00","394.40","-394.40","","","674.42","41.52","02/28/26","4958","PRIDE SIGNS","","0.00","0.00","0.00","","","5.000",""
"""12722.1""","""@40265 / St. Anthony Child Car""","1","0","0.00","18.75","18.28","","","0.00","37.03","29.00","1912.35","0.00","","5021.97","0.00","6963.32","-6926.29","","","11331.65","38.55","03/09/26","6425","ST. ANTHONY CHILD CARE CENTER","","0.00","0.00","37.03","","","17.500","0.750"
"""12722.2""","""@40400 / St. Anthony Child Car""","1","0","0.00","12.63","11.75","","","0.00","24.38","0.00","0.00","0.00","","","0.00","0.00","24.38","","","150.00","100.00","03/09/26","6425","ST. ANTHONY CHILD CARE CENTER","","0.00","0.00","24.38","","","0.000","0.500"
"""12723.1""","""@40644 / John Deere""","1","0","836.26","334.14","656.92","","","0.00","1827.32","29.00","544.37","0.00","","767.50","0.00","1340.87","486.45","","","2181.70","38.54","02/25/26","6420","JOHN DEERE","","0.00","0.00","1827.32","","","7.250","15.000"
"""12723.2""","""@Survey / John Deere""","1","0","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","","","440.00","100.00","01/29/26","6420","JOHN DEERE","","0.00","0.00","0.00","","","0.000",""
"""12724.1""","""@40575 / ABSOLUTE PERFORMANCE""","1","0","3.80","329.75","611.61","","","0.00","945.16","113.07","838.57","0.00","","","0.00","951.64","-6.48","","","1610.00","40.89","02/16/26","6426","ABSOLUTE PERFORMANCE THERAPY","","0.00","0.00","945.16","","","11.500","13.750"
"""12725.1""","""@40608 / BURGER KING""","1","0","1021.82","0.00","0.00","","","0.00","1021.82","0.00","456.85","0.00","","1021.82","0.00","1478.67","-456.85","","","2456.21","39.80","01/30/26","5891","R&R REALTY GROUP","","0.00","0.00","1021.82","","","6.000",""
"""12726.1""","""@40543 / Dollar General-Everbr""","1","1","0.34","262.75","468.04","","","0.00","731.13","0.00","434.21","0.00","","","0.00","434.21","296.92","714.21","-2.37","714.21","39.20","02/18/26","3582","EVERBRITE LLC","C","0.00","0.00","731.13","02/11/26","12726","4.500","11.250"
