"","Eagle Sign Company"
"","OPEN WORK ORDERS AS OF 12/31/16"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Due Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""7801.1""","""@21406 / MOTEL 6""","1","","665.30","66.00","122.76","","","0.00","854.06","32.86","314.60","0.00","","772.88","0.00","1120.34","-266.28","1578.16","45.88","1578.16","29.01","01/02/17","3644","MOTEL 6","C","0.00","0.00","854.06","01/04/17","7801","5.500","4.000"
"""7801.2""","""@21407 / MOTEL 6""","1","","2460.50","0.00","0.00","","","0.00","2460.50","54.54","572.00","0.00","","2837.20","0.00","3463.74","-1003.24","4831.30","49.07","4831.30","28.31","12/06/16","3644","MOTEL 6","C","0.00","0.00","2460.50","01/04/17","7801","10.000","10.500"
"""7802.1""","""@22581 / BROHEIM´S INDOOR GOLF""","1","","45.28","39.95","47.92","","","0.00","133.15","83.60","282.05","0.00","","15.00","0.00","380.65","-247.50","641.06","79.23","641.06","40.62","01/17/17","4994","BROHEIM'S INDOOR GOLF & PUB","C","0.00","0.00","133.15","01/20/17","7802","7.000","5.500"
"""7802.2""","""@22582 / BROHEIM´S INDOOR GOLF""","1","","1688.88","723.91","673.26","","","0.00","3086.05","1440.42","2436.65","0.00","","64.50","0.00","3941.57","-855.52","6308.96","51.08","6308.96","37.52","01/17/17","4994","BROHEIM'S INDOOR GOLF & PUB","C","0.00","0.00","3086.05","01/20/17","7802","53.000","54.750"
"""7819.1""","""@22610A / TASTY TACO""","1","","956.40","108.00","200.88","","","0.00","1265.28","302.18","457.60","0.00","","652.00","0.00","1411.78","-146.50","2104.07","39.87","2104.07","32.90","12/30/16","4988","TASTY TACO","C","0.00","0.00","1265.28","01/12/17","7819","8.000","6.000"
"""7820.1""","""@tm / CHARTER BANK""","1","","0.00","10.50","19.53","","","0.00","30.03","0.00","0.00","0.00","","","0.00","0.00","30.03","0.00","","0.00","","12/21/16","4998","CHARTER BANK","C","0.00","0.00","30.03","01/10/17","7820","0.000","0.750"
"""7825.1""","""@22579 / WELLS FARGO-SIGNTECH""","1","","0.00","8.50","7.91","","","0.00","16.41","30.40","337.55","0.00","","","0.00","367.95","-351.54","584.40","97.19","584.40","37.04","12/22/16","4018","SIGNTECH ELECTRICAL ADVERTISING, INC.","C","0.00","0.00","16.41","01/09/17","7825","6.750","3.250"
"""7827.1""","""@tm / NAGLE SIGNS, INC.""","1","","0.00","9.50","8.84","","","0.00","18.34","0.00","0.00","0.00","","","0.00","0.00","18.34","272.30","93.26","272.30","100.00","12/22/16","77950","NAGLE SIGNS, INC.","C","0.00","0.00","18.34","01/05/17","7827","0.000","1.750"
"""7827.2""","""@tm / NAGLE SIGNS, INC.""","1","","0.00","9.50","8.84","","","0.00","18.34","0.00","0.00","0.00","","","0.00","0.00","18.34","272.30","93.26","272.30","100.00","12/22/16","77950","NAGLE SIGNS, INC.","C","0.00","0.00","18.34","01/05/17","7827","0.000","1.750"
"""7827.3""","""@tm / NAGLE SIGNS, INC.""","1","","0.00","4.75","4.42","","","0.00","9.17","0.00","0.00","0.00","","","0.00","0.00","9.17","272.30","96.63","272.30","100.00","12/22/16","77950","NAGLE SIGNS, INC.","C","0.00","0.00","9.17","01/05/17","7827","0.000","1.500"
