"","Eagle Sign Company"
"","CLOSED WORK ORDERS 01/01/24 - 12/31/24"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Close Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""11470.1""","""@tm / SUBWAY""","1","1","1414.41","1483.91","1555.75","","","0.00","4454.07","0.00","0.00","0.00","","","0.00","0.00","4454.07","4894.00","8.99","4894.00","100.00","02/16/24","77950","NAGLE SIGNS, INC.","F","0.00","0.00","0.00","02/12/24","11470","0.000","68.000"
"""11470.2""","""@tm / SUBWAY""","1","1","2702.86","1363.21","1598.89","","","0.00","5664.96","0.00","0.00","0.00","","","0.00","0.00","5664.96","9005.90","37.10","9005.90","100.00","02/16/24","77950","NAGLE SIGNS, INC.","F","0.00","0.00","0.00","02/12/24","11470","0.000","61.000"
"""11470.3""","""@tm / SUBWAY""","1","1","1203.28","1124.40","1709.80","","","0.00","4037.48","0.00","0.00","0.00","","","0.00","0.00","4037.48","4731.78","14.67","4731.78","100.00","02/29/24","77950","NAGLE SIGNS, INC.","F","0.00","0.00","0.00","02/12/24","11470","0.000","53.250"
"""11470.4""","""@tm / SUBWAY""","1","1","0.00","96.00","178.56","","","0.00","274.56","0.00","0.00","0.00","","","0.00","0.00","274.56","0.00","","0.00","","02/16/24","77950","NAGLE SIGNS, INC.","F","0.00","0.00","0.00","02/12/24","11470","0.000","4.000"
"""11497.1""","""@36302 / THE BREAKFAST CLUB""","1","1","0.00","150.51","139.98","","","0.00","290.49","0.00","0.00","0.00","","","0.00","0.00","290.49","0.00","","150.00","100.00","01/29/24","6160","THE BREAKFAST CLUB","F","0.00","0.00","0.00","01/29/24","11497","0.000","7.000"
"""11497.2""","""@36318 / THE BREAKFAST CLUB""","1","1","3505.27","2514.00","2946.26","","1595.65","0.00","10561.18","1697.04","4985.80","0.00","","1348.15","0.00","8030.99","2530.19","13844.11","23.71","13844.11","41.99","01/29/24","6160","THE BREAKFAST CLUB","F","0.00","0.00","0.00","01/29/24","11497","105.000","111.750"
"""11497.3""","""@36664 / THE BREAKFAST CLUB""","1","1","0.00","12.25","11.39","","","0.00","23.64","0.00","0.00","0.00","","","0.00","0.00","23.64","150.00","84.24","150.00","100.00","01/29/24","6160","THE BREAKFAST CLUB","F","0.00","0.00","0.00","01/29/24","11497","0.000","0.500"
"""11497.4""","""@36671 / THE BREAKFAST CLUB""","1","1","146.00","18.19","16.92","","","0.00","181.11","0.00","109.11","0.00","","146.00","0.00","255.11","-74.00","409.81","55.81","409.81","37.75","01/29/24","6160","THE BREAKFAST CLUB","F","0.00","0.00","0.00","01/29/24","11497","2.250","0.750"
"""11497.5""","""@tm / THE BREAKFAST CLUB""","1","1","79.58","146.25","270.86","","","0.00","496.69","0.00","0.00","0.00","","","0.00","0.00","496.69","776.75","36.06","776.75","100.00","01/29/24","6160","THE BREAKFAST CLUB","F","0.00","0.00","0.00","01/29/24","11497-2","0.000","7.500"
"""11498.1""","""@35518 / DES MOINES INTERNATIO""","1","1","1489.92","1162.42","1397.26","","2150.00","0.00","6199.60","760.61","2277.80","0.00","","4057.52","0.00","7095.93","-896.33","11759.92","47.28","11759.92","39.66","05/27/24","35250","DES MOINES INTERNATIONAL AIRPO","F","0.00","0.00","0.00","05/23/24","11498","46.500","50.750"
"""11498.2""","""@35589 / DES MOINES INTERNATIO""","1","1","0.00","42.13","39.19","","","0.00","81.32","0.00","0.00","0.00","","","0.00","0.00","81.32","150.00","45.79","150.00","100.00","05/27/24","35250","DES MOINES INTERNATIONAL AIRPO","F","0.00","0.00","0.00","05/23/24","11498","0.000","1.750"
"""11498.3""","""@36150 / DES MOINES INTERNATIO""","1","1","2507.68","927.17","1001.18","","3100.00","0.00","7536.03","1651.11","2905.31","0.00","","2226.75","0.00","6783.17","752.86","11292.69","33.27","11292.69","39.93","05/27/24","35250","DES MOINES INTERNATIONAL AIRPO","F","0.00","0.00","0.00","05/23/24","11498","56.000","40.250"
