"","Eagle Sign Company"
"","CLOSED WORK ORDERS 01/01/08 - 12/31/08"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act ","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est ","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Close Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""1282.7""","""@1601 / TACO JOHNÇS""","1","1","263.43","168.82","159.88","","","","0.00","592.13","76.17","127.35","0.00","","","","0.00","203.52","388.61","1225.00","51.66","1225.00","83.39","03/31/08","110100","TACO JOHN'S OF IOWA","F","0.00","0.00","0.00","03/19/08","1282","3.000","15.000"
"""1282.8""","""@1602 / TACO JOHNÇS""","1","1","285.32","274.65","247.19","","","","0.00","807.16","76.17","127.35","0.00","","","","0.00","203.52","603.64","1225.00","34.11","275.60","26.15","03/31/08","110100","TACO JOHN'S OF IOWA","F","0.00","0.00","0.00","03/19/08","1282","3.000","24.750"
"""1282.9""","""@1603 / TACO JOHNÇS""","1","1","25.00","4.41","3.97","","","","0.00","33.38","70.00","60.28","0.00","","","","0.00","130.28","-96.90","150.00","77.75","150.00","13.15","03/31/08","110100","TACO JOHN'S OF IOWA","F","0.00","0.00","0.00","03/19/08","1282","1.420","0.250"
"""1297.1""","""@PERMIT / GREEN HORIZONS BUSIN""","1","1","0.00","84.13","151.43","","","","0.00","235.56","0.00","0.00","0.00","","","","0.00","0.00","235.56","75.00","-214.08","75.00","100.00","05/31/08","2265","GREEN HORIZONS PROPERTIES","F","0.00","0.00","0.00","05/30/08","1297","0.000","5.500"
"""1297.2""","""@1717 / GREEN HORIZONS BUSINES""","1","1","1699.46","1115.82","1234.43","","","","0.00","4049.71","0.00","0.00","0.00","","","","0.00","0.00","4049.71","7547.00","46.34","7547.00","100.00","05/31/08","2265","GREEN HORIZONS PROPERTIES","F","0.00","0.00","0.00","05/30/08","1297","0.000","67.000"
"""1309.1""","""@1971 / TACO JOHNÇS""","1","1","2723.02","1150.21","1370.16","","1196.14","","0.00","6439.53","2351.13","2090.67","0.00","","","","0.00","4441.80","1997.73","3968.00","-62.29","3968.00","-11.94","04/29/08","2272","TACO JOHN'S","F","0.00","0.00","0.00","04/18/08","1309","49.250","80.750"
"""1309.10""","""@2061 / TACO JOHNÇS""","1","1","181.78","4.41","3.97","","55.00","","0.00","245.16","15.75","84.90","0.00","","","","0.00","100.65","144.51","406.00","39.62","406.00","75.21","04/29/08","2272","TACO JOHN'S","F","0.00","0.00","0.00","04/18/08","1309","2.000","0.250"
"""1309.11""","""@2062 / TACO JOHNÇS""","1","1","46.04","0.00","0.00","","","","0.00","46.04","0.00","0.00","0.00","","","","0.00","0.00","46.04","63.00","26.92","63.00","100.00","04/29/08","2272","TACO JOHN'S","F","0.00","0.00","0.00","04/18/08","1309","0.000",""
"""1309.12""","""@2064 / TACO JOHNÇS""","1","1","350.02","0.00","0.00","","","","0.00","350.02","0.00","0.00","0.00","","","","0.00","0.00","350.02","970.00","63.92","970.00","100.00","04/29/08","2272","TACO JOHN'S","F","0.00","0.00","0.00","04/18/08","1309","0.000",""
"""1309.13""","""@PERMIT / TACO JOHNÇS""","1","1","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","120.00","100.00","120.00","100.00","04/29/08","2272","TACO JOHN'S","F","0.00","0.00","0.00","04/18/08","1309","0.000",""
"""1309.14""","""@2191 / TACO JOHNÇS""","1","1","0.00","115.50","207.90","","","","0.00","323.40","9.50","4010.40","0.00","","450.00","","0.00","4469.90","-4146.50","4719.45","93.15","4719.45","5.29","04/29/08","2272","TACO JOHN'S","F","0.00","0.00","0.00","04/18/08","1309","39.000","10.500"
"""1309.15""","""@2460 / TACO JOHNÇS""","1","1","7.61","51.65","46.49","","","","0.00","105.75","0.00","0.00","0.00","","876.20","","0.00","876.20","-770.45","1139.06","90.72","1139.06","23.08","04/29/08","2272","TACO JOHN'S","F","0.00","0.00","0.00","04/18/08","1309","0.000","5.000"
