"15 FEB 2026","18:21:18","","","GROSS MARGIN BY SALESPERSON",
"","","","","PERIOD: 01/01/17 through 12/31/17",

"Invoice No","Inv Date","Prod Code","Cust No","Customer Name","Gross Sales","Total Cost","Gross Margin","GM %","Extra Charge","Salesperson #1","Comm Rate #1","Salesperson #2","Comm Rate #2","Salesperson #3","Comm Rate #3","Location No","Location Name","City","State",
"7855","01/20/17","MISC","77950","NAGLE SIGNS  INC.","1059.25","892.11","167.14","15.78","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"7862","01/20/17","MISC","2875","3E","134.70","78.36","56.34","41.83","","HOUSE","","","","","","DEFAULT","3E","WINDSOR HEIGHTS","IA",
"7873","02/14/17","MISC","77950","NAGLE SIGNS  INC.","105.00","55.74","49.26","46.91","","HOUSE","","","","","","DEFAULT","ISU Basket Ball Practice Facility","Ames ","IA",
"7880-2","09/15/17","MISC","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","2600.00","1146.90","1453.10","55.89","","HOUSE","","","","","","DEFAULT","CITY OF DES MOINES","DES MOINES","IA",
"7883","02/06/17","MISC","77950","NAGLE SIGNS  INC.","63.58","63.58","0.00","0.00","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"7891","02/13/17","MISC","77950","NAGLE SIGNS  INC.","132.66","96.81","35.85","27.02","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"7903","02/27/17","MISC","77950","NAGLE SIGNS  INC.","187.50","140.06","47.44","25.30","","HOUSE","","","","","","147","CUSTIS CONTRACTING SERVICES","CLIVE","IA",
"7906","02/15/17","MISC","77950","NAGLE SIGNS  INC.","111.96","103.49","8.47","7.57","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"7906","02/15/17","MISC","77950","NAGLE SIGNS  INC.","139.95","121.40","18.55","13.25","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"7912","02/28/17","MISC","95950","NATIONAL CARWASH SOLUTIONS","1279.28","901.80","377.48","29.51","","HOUSE","","","","","","DEFAULT","RYKO MANUFACTURING","GRIMES","IA",
"7918","02/27/17","MISC","77950","NAGLE SIGNS  INC.","76.20","50.96","25.24","33.12","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"7923","03/20/17","MISC","95950","NATIONAL CARWASH SOLUTIONS","1279.28","1020.10","259.18","20.26","","HOUSE","","","","","","DEFAULT","RYKO MANUFACTURING","GRIMES","IA",
"7929","03/05/17","MISC","77950","NAGLE SIGNS  INC.","94.30","66.95","27.35","29.00","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"7929","03/05/17","MISC","77950","NAGLE SIGNS  INC.","94.30","68.35","25.95","27.52","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"7929","03/05/17","MISC","77950","NAGLE SIGNS  INC.","94.30","66.95","27.35","29.00","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"7929","03/05/17","MISC","77950","NAGLE SIGNS  INC.","32.50","26.26","6.24","19.20","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"7945","03/20/17","MISC","77950","NAGLE SIGNS  INC.","1208.20","875.26","332.94","27.56","","HOUSE","","","","","","16","FLOWERAMA","DES MOINES","IA",
"7947","03/20/17","MISC","77950","NAGLE SIGNS  INC.","741.08","603.71","137.37","18.54","","HOUSE","","","","","","150","FLOWERAMA - NAGLE SIGNS","AMES","IA",
"7948","03/30/17","MISC","77950","NAGLE SIGNS  INC.","674.41","424.11","250.30","37.11","","HOUSE","","","","","","149","FLOWERAMA-NAGLE SIGNS","DES MOINES","IA",
"7959","04/26/17","MISC","77950","NAGLE SIGNS  INC.","315.00","252.43","62.57","19.86","","HOUSE","","","","","","63","KUM & GO # 66","WEST DES MOINES","IA",
"7978","03/24/17","MISC","77950","NAGLE SIGNS  INC.","421.88","400.49","21.39","5.07","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"7978","03/24/17","MISC","77950","NAGLE SIGNS  INC.","160.95","142.51","18.44","11.46","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"7991","04/13/17","MISC","77950","NAGLE SIGNS  INC.","82.35","64.57","17.78","21.59","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8002","04/17/17","MISC","77950","NAGLE SIGNS  INC.","0.00","51.48","-51.48","","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8009","10/15/17","MISC","77950","NAGLE SIGNS  INC.","0.00","0.00","0.00","","","HOUSE","","","","","","154","KUM & GO 121","URBANDALE","IA",
"8029","05/12/17","MISC","77950","NAGLE SIGNS  INC.","1119.71","821.44","298.27","26.64","","HOUSE","","","","","","12","NAGLE SIGNS, INC.","MARSHALLTOWN","IA",
"8032","05/19/17","MISC","77950","NAGLE SIGNS  INC.","50.00","0.00","50.00","100.00","25.00","HOUSE","","","","","","156","KUM & GO #76","ADAIR","IA",
"8062","05/17/17","MISC","77950","NAGLE SIGNS  INC.","624.40","502.53","121.87","19.52","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8066","05/24/17","MISC","77950","NAGLE SIGNS  INC.","87.50","94.57","-7.07","-8.08","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8066","05/24/17","MISC","77950","NAGLE SIGNS  INC.","187.50","110.50","77.00","41.07","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8066","05/24/17","MISC","77950","NAGLE SIGNS  INC.","187.50","133.18","54.32","28.97","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8068","05/25/17","MISC","77950","NAGLE SIGNS  INC.","123.63","105.79","17.84","14.43","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8068","05/25/17","MISC","77950","NAGLE SIGNS  INC.","152.20","128.65","23.55","15.47","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8068","05/25/17","MISC","77950","NAGLE SIGNS  INC.","1256.50","1041.44","215.06","17.12","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8101","06/26/17","MISC","3546","SUE KOENIGSFELD","0.00","549.97","-549.97","","","HOUSE","","","","","","1","MITIGWA SCOUT RESERVATION","WOODWARD","IA",
"8121","06/29/17","MISC","77950","NAGLE SIGNS  INC.","114.10","87.55","26.55","23.27","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8145","07/26/17","MISC","4409","CHRIS HANDLOS","149.75","99.83","49.92","33.34","","HOUSE","","","","","","DEFAULT","CHRIS HANDLOS","DES MOINES","IA",
"8159","07/14/17","MISC","2906","AMERICAN MARKING","198.70","117.15","81.55","41.04","","HOUSE","","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"8167","07/26/17","MISC","77950","NAGLE SIGNS  INC.","229.45","170.41","59.04","25.73","","HOUSE","","","","","","12","NAGLE SIGNS, INC.","MARSHALLTOWN","IA",
"8175","07/31/17","MISC","77950","NAGLE SIGNS  INC.","165.00","129.79","35.21","21.34","","HOUSE","","","","","","164","FAMILY CHRISTIAN- NAGLE SIGNS","ANKENY","IA",
"8178","08/03/17","MISC","77950","NAGLE SIGNS  INC.","275.00","242.72","32.28","11.74","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8179","08/09/17","MISC","77950","NAGLE SIGNS  INC.","1602.02","1188.10","413.92","25.84","","HOUSE","","","","","","165","CITY LAUNDRY - NAGLE SIGNS","OELWEIN","IA",
"8189","08/07/17","MISC","4842","DIVISION 3 CONSTUCTORS INC / STEVE BLOUNT","225.00","119.45","105.55","46.91","","HOUSE","","","","","","DEFAULT","DIVISION 3 CONSTUCTORS,INC / STEVE BLOUNT","WEST DES MOINES","IA",
"8194","08/10/17","MISC","77950","NAGLE SIGNS  INC.","234.75","202.41","32.34","13.78","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8215","09/14/17","MISC","77950","NAGLE SIGNS  INC.","1025.00","745.67","279.33","27.25","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8215","09/14/17","MISC","77950","NAGLE SIGNS  INC.","625.00","434.26","190.74","30.52","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8226","08/31/17","MISC","77950","NAGLE SIGNS  INC.","151.45","119.36","32.09","21.19","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8230","08/30/17","MISC","2906","AMERICAN MARKING","33.00","8.20","24.80","75.15","","HOUSE","","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
