"15 FEB 2026","18:12:49","","","GROSS MARGIN BY INVOICE",
"","","","","PERIOD: 01/01/08 through 12/31/08",

"Invoice No","Inv Date","Prod Code","WO / Part ","Quote","Gross Sales","Total Cost","Gross Margin","GM %","Extra Chg","Sales Tax","Quote Cost","Quote Price","Quote GM%","Quote Sell Price","Quote Sell GM%","Cust No","Customer Name","SalesPer #1","Rate #1","SalesPer #2","Rate #2","SalesPer #3","Rate #3","Location No","Location Name","City","State",
"1202","01/28/08","FRT","1202.3","1686","745.00","540.76","204.24","27.41","","","0.00","","","745.00","100.00","21100","CHARLEY'S GRILLED SUBS","MIKEE","","","","","","2","CHARLEY´S GRILLED SUBS","LAS CRUCES","NM",
"1202","01/28/08","INSTL","1202.4","1687","3582.00","2448.88","1133.12","31.63","","","0.00","","","3812.00","100.00","21100","CHARLEY'S GRILLED SUBS","MIKEE","","","","","","2","CHARLEY´S GRILLED SUBS","LAS CRUCES","NM",
"1202","","","Invoice Totals","","12438.00","9392.45","3045.55","24.49","230.00","0.00","0.00","0.00","","12668.00","100.00","21100","CHARLEY'S GRILLED SUBS","MIKEE","","","","","",

"1222","10/23/08","MISC","1222.1","1744","1525.00","9449.34","-7924.34","-519.63","","91.50","0.00","","","1525.00","100.00","50250","GOODYEAR","MIKEE","","","","","","1","GOODYEAR INVENTORY","DES MOINES","IA",
"1222","","","Invoice Totals","","1525.00","9449.34","-7924.34","-519.63","0.00","91.50","0.00","0.00","","1525.00","100.00","50250","GOODYEAR","MIKEE","","","","","",

"1237","02/29/08","REPFCE","1237.1","","73300.00","56783.87","16516.13","22.53","","","","","","","","77950","NAGLE SIGNS  INC.","TOMW","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"1237","","","Invoice Totals","","73300.00","56783.87","16516.13","22.53","0.00","0.00","0.00","0.00","","","","77950","NAGLE SIGNS  INC.","TOMW","","","","","",

"1243","02/11/08","CHANNL","1243.1","1429","8724.00","9819.58","-1095.58","-12.56","100.00","1121.10","7872.84","10266.33","23.31","","","52800","HEART OF AMERICA RESTAURANTS &","HOUSE","","","","","","1","HOLIDAY INN & SUITES/JOHNNY´S","WEST DES MOINES","IA",
"1243","02/11/08","CHANNL","1243.2","1497","9961.00","9681.56","279.44","2.81","","","9749.59","11642.72","16.26","","","52800","HEART OF AMERICA RESTAURANTS &","HOUSE","","","","","","1","HOLIDAY INN & SUITES/JOHNNY´S","WEST DES MOINES","IA",
"1243","","","Invoice Totals","","18685.00","19501.14","-816.14","-4.37","100.00","1121.10","17622.43","21909.05","19.57","","","52800","HEART OF AMERICA RESTAURANTS &","HOUSE","","","","","",

"1250","01/30/08","MISC","1250.1","1017","2683.83","2685.17","-1.34","-0.05","","653.94","2168.40","2683.83","19.21","","","112850","THE MEMBERS GROUP","JOEP","","","","","","DEFAULT","THE MEMBERS GROUP","Clive","IA",
"1250","01/30/08","MONMNT","1250.2","1494","7216.17","6034.26","1181.91","16.38","","","0.00","","","","","112850","THE MEMBERS GROUP","JOEP","","","","","","DEFAULT","THE MEMBERS GROUP","Clive","IA",
"1250","01/30/08","DRCT","1250.3","1669","849.00","590.70","258.30","30.42","","","0.00","","","","","112850","THE MEMBERS GROUP","JOEP","","","","","","DEFAULT","THE MEMBERS GROUP","Clive","IA",
"1250","01/30/08","PRMT","1250.4","","90.00","90.00","0.00","","","","","","","","","112850","THE MEMBERS GROUP","JOEP","","","","","","DEFAULT","THE MEMBERS GROUP","Clive","IA",
