"","Eagle Sign Company"
"","OPEN WORK ORDERS AS OF 12/31/10"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act ","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est ","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Due Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""3236.1""","""@Faces / NAGLE SIGNS, INC.""","1","","0.00","4.25","3.83","","","","0.00","8.08","0.00","0.00","0.00","","","","0.00","0.00","8.08","345.89","97.66","345.89","100.00","12/28/10","77950","NAGLE SIGNS, INC.","C","0.00","0.00","8.08","02/07/11","3236","0.000","1.500"
"""3246.1""","""@Debrand / Kum & Go/ QuiznoÇs""","1","","0.00","60.00","108.00","","","","0.00","168.00","0.00","0.00","0.00","","","","0.00","0.00","168.00","300.00","44.00","300.00","100.00","12/29/10","77950","NAGLE SIGNS, INC.","C","0.00","0.00","168.00","01/18/11","3246","0.000","3.250"
"""3758.1""","""@9914 / BANKERS TRUST""","1","","0.00","45.00","81.00","","","","0.00","0.00","0.00","174.80","0.00","","1350.00","","0.00","1524.80","-1524.80","2380.21","100.00","2380.21","35.94","10/17/11","3253","BANKERS TRUST","C","0.00","0.00","0.00","12/27/11","3758","3.500","3.000"
"""62477""","""221-0200 5'-4 1/2"" X 20' STAND""","1","","2815.01","407.47","366.75","","","","0.00","3589.23","2627.91","318.00","0.00","","","","0.00","2945.91","643.32","","","0.00","","01/31/08","","","C","0.00","0.00","3589.23","","","20.000","29.250"
"""62857""","""221-0190 STANDARD CAT SCALE SP""","1","","120.53","154.75","139.29","","","","0.00","414.57","412.24","127.20","0.00","","","","0.00","539.44","-124.87","","","0.00","","02/19/09","","","C","0.00","0.00","414.57","","","8.000","10.250"
"""62941""","""221-0190 STANDARD CAT SCALE SP""","1","","388.83","151.00","135.91","","","","0.00","675.74","394.38","127.20","0.00","","","","0.00","521.58","154.16","","","0.00","","06/24/09","","","C","0.00","0.00","675.74","","","8.000","10.000"
"""62978""","""202-1300 RACEWAY END CAPS""","20","","0.00","18.75","16.88","","","","0.00","35.63","28.80","159.00","0.00","","","","0.00","187.80","-152.17","","","0.00","","09/10/09","","","C","0.00","0.00","35.63","","","10.000","1.250"
"""63114""","""221-0300 5'-4 1/2"" X 20' STAND""","1","1","842.54","153.38","138.04","","","","0.00","1133.96","807.50","127.20","0.00","","","","0.00","934.70","199.26","","","0.00","","04/28/10","","","C","1107.39","0.00","26.57","","","8.000","9.250"
"""63194""","""221-0190 STANDARD CAT SCALE SP""","1","","334.58","87.25","78.53","","","","0.00","500.36","326.75","127.20","0.00","","","","0.00","453.95","46.41","","","0.00","","07/30/10","","","C","0.00","0.00","500.36","","","8.000","6.500"
"""63267""","""221-0210 5'-4 1/2"" X 20' HIGH""","1","","335.23","29.94","26.95","","","","0.00","392.12","3360.38","318.00","0.00","","","","0.00","3678.38","-3286.26","","","0.00","","09/03/10","","","C","0.00","0.00","392.12","","","20.000","21.250"
"""63270""","""221-0330 5'-4 1/2"" X 20' HURRI""","1","","1221.58","237.00","213.30","","","","0.00","1671.88","1258.50","0.00","0.00","","","","0.00","1258.50","413.38","","","0.00","","09/06/10","","","C","0.00","0.00","1671.88","","","0.000","25.000"
"""63324""","""221-0193 CAT SCALE SPEAKER SIG""","30","","0.00","11.25","10.13","","","","0.00","21.38","70.07","14.31","0.00","","","","0.00","84.38","-63.00","","","0.00","","09/29/10","","","C","0.00","0.00","21.38","","","0.900","2.000"
"""63327""","""219-1130 1/2 X 6 POLE GUSSETS""","40","","71.53","114.19","102.77","","","","0.00","288.49","95.37","15.90","0.00","","","","0.00","111.27","177.22","","","0.00","","10/01/10","","","C","0.00","0.00","288.49","","","1.000","7.750"
"""63364""","""202-0560 LARGE ""A"" SPREADER BA""","420","","181.88","16.25","14.63","","","","0.00","212.76","198.16","6678.00","0.00","","","","0.00","6876.16","-6663.40","","","0.00","","11/04/10","","","C","0.00","0.00","212.76","","","420.000","1.250"
"""63372""","""221-0190 STANDARD CAT SCALE SP""","1","","327.23","68.50","61.66","","","","0.00","457.39","334.15","127.20","0.00","","","","0.00","461.35","-3.96","","","0.00","","11/19/10","","","C","0.00","0.00","457.39","","","8.000","4.500"
"""63373""","""221-0190 STANDARD CAT SCALE SP""","1","","327.77","79.25","71.33","","","","0.00","478.35","334.15","127.20","0.00","","","","0.00","461.35","17.00","","","0.00","","11/22/10","","","C","0.00","0.00","478.35","","","8.000","5.250"
"""63374""","""221-0190 STANDARD CAT SCALE SP""","1","","327.77","98.00","88.21","","","","0.00","513.98","334.15","127.20","0.00","","","","0.00","461.35","52.63","","","0.00","","11/23/10","","","C","0.00","0.00","513.98","","","8.000","6.500"
"""63395""","""221-0200 5'-4 1/2"" X 20' STAND""","1","","1235.29","115.63","104.07","","","","0.00","1454.99","2905.30","318.00","0.00","","","","0.00","3223.30","-1768.31","","","0.00","","11/29/10","","","C","0.00","0.00","1454.99","","","20.000","23.000"
"""63396""","""221-0200 5'-4 1/2"" X 20' STAND""","1","","281.02","77.31","69.59","","","","0.00","427.92","2905.30","318.00","0.00","","","","0.00","3223.30","-2795.38","","","0.00","","11/30/10","","","C","0.00","0.00","427.92","","","20.000","20.250"
"""63397""","""221-0200 5'-4 1/2"" X 20' STAND""","1","","255.81","81.75","73.58","","","","0.00","411.14","2905.30","318.00","0.00","","","","0.00","3223.30","-2812.16","","","0.00","","12/01/10","","","C","0.00","0.00","411.14","","","20.000","20.750"
"""63398""","""221-0200 5'-4 1/2"" X 20' STAND""","1","","281.02","70.01","63.01","","","","0.00","414.04","2905.30","318.00","0.00","","","","0.00","3223.30","-2809.26","","","0.00","","12/02/10","","","C","0.00","0.00","414.04","","","20.000","18.750"
"""63399""","""221-0200 5'-4 1/2"" X 20' STAND""","1","","292.93","69.44","62.51","","","","0.00","424.88","2905.30","318.00","0.00","","","","0.00","3223.30","-2798.42","","","0.00","","12/03/10","","","C","0.00","0.00","424.88","","","20.000","18.750"
"""63400""","""221-0200 5'-4 1/2"" X 20' STAND""","1","","255.81","3.88","3.49","","","","0.00","263.18","2905.30","318.00","0.00","","","","0.00","3223.30","-2960.12","","","0.00","","12/06/10","","","C","0.00","0.00","263.18","","","20.000","21.000"
"""63418""","""219-1141 1/2"" x 8"" Top Plate""","15","","74.43","66.94","60.24","","","","0.00","201.61","74.43","246.45","0.00","","","","0.00","320.88","-119.27","","","0.00","","12/09/10","","","C","0.00","0.00","201.61","","","15.500","5.500"
"""63419""","""219-1139 1/2"" X 8"" MATCH PLATE""","15","","108.26","54.44","49.00","","","","0.00","211.70","74.43","123.23","0.00","","","","0.00","197.66","14.04","","","0.00","","12/09/10","","","C","0.00","0.00","211.70","","","7.750","4.000"
"""63420""","""221-0192 CAT SCALE SPEAKER SIG""","10","","70.40","18.75","16.88","","","","0.00","106.03","70.07","15.90","0.00","","","","0.00","85.97","20.06","","","0.00","","12/09/10","","","C","0.00","0.00","106.03","","","1.000","4.000"
"""63422""","""202-0500 8"" ANGLE IRON BRACKET""","56","","46.06","0.00","0.00","","","","0.00","46.06","64.48","5.34","0.00","","","","0.00","69.82","-23.76","","","0.00","","12/13/10","","","C","0.00","0.00","46.06","","","0.336",""
"""63423""","""221-0330 5'-4 1/2"" X 20' HURRI""","1","","1198.27","207.57","186.82","","","","0.00","1592.66","1255.60","0.00","0.00","","","","0.00","1255.60","337.06","","","0.00","","12/20/10","","","C","0.00","0.00","1592.66","","","0.000","13.250"
"""63424""","""221-0220 5'-4 1/2"" X 20' HURRI""","1","","2926.41","291.32","262.20","","","","0.00","3479.93","3118.07","0.00","0.00","","","","0.00","3118.07","361.86","","","0.00","","12/20/10","","","C","0.00","0.00","3479.93","","","0.000","20.250"
"""63425""","""221-0190 STANDARD CAT SCALE SP""","1","","0.00","41.25","37.13","","","","0.00","78.38","334.15","127.20","0.00","","","","0.00","461.35","-382.97","","","0.00","","12/20/10","","","C","0.00","0.00","78.38","","","8.000","5.750"
"""63426""","""221-0190 STANDARD CAT SCALE SP""","1","","0.00","26.25","23.63","","","","0.00","49.88","334.15","127.20","0.00","","","","0.00","461.35","-411.47","","","0.00","","12/21/10","","","C","0.00","0.00","49.88","","","8.000","6.250"
"""63427""","""221-0190 STANDARD CAT SCALE SP""","1","","0.00","33.75","30.38","","","","0.00","64.13","334.15","127.20","0.00","","","","0.00","461.35","-397.22","","","0.00","","12/22/10","","","C","0.00","0.00","64.13","","","8.000","5.750"
"""63428""","""221-0190 STANDARD CAT SCALE SP""","1","","0.00","22.50","20.25","","","","0.00","42.75","334.15","127.20","0.00","","","","0.00","461.35","-418.60","","","0.00","","12/27/10","","","C","0.00","0.00","42.75","","","8.000","6.000"
"""63429""","""221-0190 STANDARD CAT SCALE SP""","1","","0.00","22.50","20.26","","","","0.00","42.76","334.15","127.20","0.00","","","","0.00","461.35","-418.59","","","0.00","","12/28/10","","","C","0.00","0.00","42.76","","","8.000","8.250"
"""63437""","""219-1130 1/2 X 6 POLE GUSSETS""","40","","0.00","11.81","10.63","","","","0.00","22.44","95.37","15.90","0.00","","","","0.00","111.27","-88.83","","","0.00","","12/29/10","","","C","0.00","0.00","22.44","","","1.000","19.750"
"""63474""","""221-0200 5'-4 1/2"" X 20' STAND""","1","","17.04","0.00","0.00","","","","0.00","17.04","2904.57","318.00","0.00","","","","0.00","3222.57","-3205.53","","","0.00","","01/31/11","","","C","0.00","0.00","17.04","","","20.000","21.000"
"""SC1666.1""","""@warranty / TACO JOHNÇS""","1","","0.00","0.00","0.00","","165.31","","0.00","165.31","0.00","0.00","0.00","","","","0.00","0.00","165.31","","","1.00","100.00","06/15/09","106750","TACO JOHN'S","C","0.00","0.00","165.31","","","0.000",""
"""SC1682.1""","""@service / TACO JOHN'S""","1","","0.00","42.00","75.60","","","","0.00","117.60","0.00","0.00","0.00","","","","0.00","0.00","117.60","","","1.00","100.00","06/24/09","110100","TACO JOHN'S OF IOWA","C","0.00","0.00","117.60","","","0.000","3.000"
"""SC1695.1""","""@ / TACO JOHN'S""","1","","79.23","85.00","153.00","","","","0.00","317.23","0.00","0.00","0.00","","","","0.00","0.00","317.23","","","0.00","","07/20/09","110100","TACO JOHN'S OF IOWA","C","0.00","0.00","317.23","","","0.000","5.750"
