Code,Description,Account,Rate,S/U,"Jur
State","Jur
Type",Tax Cap,"Taxable
Amt Cap",,Assoc Tax,"Total 
Rate"
IA46,46 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA46S,46 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA47O,47 OPTION TAX 7.1.09,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA47OP,DO NOT USE NEW RT 7.1.09,2140,0.0000,S,IA,County,,,,IA6,6.0000
XX,IA47S,47 School Tax,2140,1.0000,S,IA,County,,,,IA,6.0000
IA48,48 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA48S,48 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA49,49 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA49S,49 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA50,50 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA50S,IA 50 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA51,51 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA51S,51 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
XX,IA52,52 School Tax,2140,1.0000,S,IA,County,,,,IA,6.0000
IA52O,52 OPTION TAX 7.1.09,2140,1.0000,S,IA,County,,,,IA6,7.0000
IA52OP,52 - 6% option,2140,0.0000,S,IA,County,,,,IA6,6.0000
IA53,53 Option Tax,2140,1.0000,S,IA,Local,,,,IA6,7.0000
XX,IA53S,53 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA54,54 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA54S,54 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA55,55 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA55S,55 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA56,56 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA56S,56 School,2140,1.0000,S,IA,County,,,,,1.0000
XX,IA57,DO NOT USE,2140,5.0000,S,IA,County,,,,,5.0000
IA57O,Linn County LOST 1%,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA57OP,DO NOT USE NEW RT 7.1.09,2140,0.0000,S,IA,County,,,,IA6,6.0000
XX,IA57SC,57 School,2140,1.0000,S,IA,County,,,,IA,6.0000
IA58,58 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA58S,58 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA59,59 Optioin Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA59S,59 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA6,6% IA SALES TAX,2140,6.0000,S,IA,County,,,,,6.0000
IA60,60 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA60S,60 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA61,IA 61 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA61S,IA 61 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA62,62 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA62S,62 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA63,IA 63 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA63S,IA 63 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA64,64 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA64S,64 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA65,65 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA65S,65 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA66,66 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA66S,66 School,2140,1.0000,S,IA,County,,,,,1.0000
IA67,67 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA67S,67 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA68,68 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA68S,68 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA69,69 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA69S,69 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA70,70 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA70S,70 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA71,71 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA71S,71 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
XX,IA72,72 School Tax,2140,1.0000,S,IA,County,,,,IA,6.0000
IA72OP,72 Option Tax,2140,0.0000,S,IA,Local,,,,IA6,6.0000
IA73,73 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA73S,73 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA74,74 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA74S,74 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA75,75 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA75S,75 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA76,76 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA76S,76 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
XX,IA77,77 School Tax,2140,1.0000,S,IA,County,,,,IA,6.0000
IA77O7,IA 77 Option 7% tax,2140,1.0000,S,IA,Local,,,,IA6,7.0000
IA77OP,77 0 Option Tax 6%tax,2140,0.0000,S,IA,County,,,,IA6,6.0000
XX,IA77S,DO NOT USE,2140,1.0000,U,IA,County,,,,,1.0000
IA78,IA 78 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA78S,IA 78 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA79,79 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA79S,79 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA80,80 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA80S,80 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA81,81 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA81S,81 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA82,82 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA82S,82 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA83,83 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA83S,83 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA84,84 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
