wo_number,customer_id,customer_name,location,total_material_cost,total_labor_cost,total_burden_cost,total_outplant_cost,total_use_tax,total_cost,quoted_price,sale_price,billing,gross_margin,gm_pct,sales_code,use_tax_code,estimator,quote_nbr,date_completed,status,sign_type,price_class_code,description,part_number,source_tier,source_file
10043.3,2535,ATLAS SIGN INDUSTRIES,"CRESTON, IA",55.0,411.64,760.29,0.0,0.0,1226.93,557.01,,557.01,-669.92,-120.27,BANNER,RESALE,Adam Fasselius,31063,2021-03-09,Fin Closed,BANSTK,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10043.4,2535,ATLAS SIGN INDUSTRIES,"CRESTON, IA",55.0,10.25,9.53,0.0,0.0,74.78,335.88,,335.88,261.1,77.74,BANNER,RESALE,Adam Fasselius,31309,2021-03-09,Fin Closed,BANSTK,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10043.5,2535,ATLAS SIGN INDUSTRIES,"CRESTON, IA",0.0,0.0,0.0,0.0,0.0,0.0,1117.98,,1117.98,1117.98,100.0,INSTL,RESALE,Adam Fasselius,31396,2021-03-09,Fin Closed,CLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10044.1,2598,SEPTAGON CONSTRUCTION,"GRIMES, IA",0.0,149.5,257.48,0.0,0.0,406.98,983.43,,983.43,576.45,58.62,BLDG,IA77O7,Adam Fasselius,30553,2021-01-19,Fin Closed,BLDNON,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10044.2,2598,SEPTAGON CONSTRUCTION,"GRIMES, IA",0.0,21.0,19.53,0.0,0.0,40.53,135.0,,,,,BLDG,IA77O7,,30611,2021-01-19,Fin Closed,BLDNON,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10045.1,5771,BLINK SIGNS,"URBANDALE, IA",239.82,1114.08,2024.52,0.0,0.0,3378.42,1482.35,,4447.05,1068.63,24.03,INSTL,IA77O7,Adam Fasselius,31017,2022-02-17,Fin Closed,CLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10045.10,5771,BLINK SIGNS,"URBANDALE, IA",1182.49,1079.42,1053.9,0.0,0.0,3315.81,1519.17,,4557.51,1241.7,27.25,CHANNL,IA77O7,Adam Fasselius,33082,2022-02-07,Fin Closed,CLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10045.11,5771,BLINK SIGNS,"URBANDALE, IA",0.0,0.0,0.0,5120.0,0.0,5120.0,3053.85,,3053.85,-2066.15,-67.66,OUTS,IA77O7,Adam Fasselius,33722,2022-05-25,Fin Closed,MONDF,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10045.12,5771,BLINK SIGNS,"URBANDALE, IA",0.0,0.0,0.0,0.0,0.0,0.0,,,325.0,325.0,100.0,MISC,IA77O7,,,2022-05-25,Fin Closed,,TM - Time & Materials,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10045.3,5771,BLINK SIGNS,"URBANDALE, IA",0.0,10.5,9.77,0.0,0.0,20.27,2355.07,2355.07,,2334.8,99.14,INSTL,IA77O7,Adam Fasselius,30715,2021-12-10,Fin Closed,MONDF,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10045.6,5771,BLINK SIGNS,"URBANDALE, IA",0.0,0.0,0.0,0.0,0.0,0.0,200.0,,200.0,200.0,100.0,MISC,IA77O7,Adam Fasselius,30718,2022-02-17,Fin Closed,OTHER,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10045.7,5771,BLINK SIGNS,"URBANDALE, IA",0.0,0.0,0.0,0.0,0.0,0.0,200.0,,200.0,200.0,100.0,MISC,IA77O7,Adam Fasselius,30719,2022-05-25,Fin Closed,OTHER,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10045.8,5771,BLINK SIGNS,"URBANDALE, IA",228.54,96.0,178.57,260.31,0.0,763.42,6417.3,,6417.3,5653.88,88.1,OUTS,IA77O7,Adam Fasselius,30714A,2022-05-25,Fin Closed,MONDF,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10045.9,5771,BLINK SIGNS,"URBANDALE, IA",0.0,261.88,486.47,0.0,0.0,748.35,2281.47,,2281.47,1533.12,67.2,INSTL,IA77O7,Adam Fasselius,30715A,2022-05-25,Fin Closed,MONDF,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10046.1,4725,KEMIN INDUSTRIES,"DES MOINES, IA",3098.93,2175.48,2408.39,0.0,0.0,7682.8,11219.58,,11219.58,3536.78,31.52,MONMNT,IA77O7,Adam Fasselius,30945,2021-08-24,Fin Closed,MONSF,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10046.2,4725,KEMIN INDUSTRIES,"DES MOINES, IA",0.0,42.0,39.06,0.0,0.0,81.06,135.0,,,,,PRMT,IA77O7,Adam Fasselius,31013,2021-08-24,Fin Closed,MONSF,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10046.3,4725,KEMIN INDUSTRIES,"DES MOINES, IA",40.34,77.76,72.34,0.0,0.0,190.44,,,,,,MISC,IA77O7,,,2021-08-24,Fin Closed,,TM - Time & Materials,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10047.1,5259,EASTVIEW COMMUNITY CENTER,"DES MOINES, IA",0.0,21.0,19.53,0.0,0.0,40.53,135.0,,,,,MONMNT,IA77O7,,30964,2021-01-15,Fin Closed,MONDF,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10047.2,5259,EASTVIEW COMMUNITY CENTER,"DES MOINES, IA",440.25,104.5,174.46,0.0,0.0,719.21,991.47,,991.47,272.26,27.46,REPFCE,IA77O7,Adam Fasselius,30994,2021-01-15,Fin Closed,MONDF,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
